2
433 6546
9 13 2984
5 13 4341
253 5 8253
299 5 9646
403 9 5932
430 5 76
182 430 5911
426 182 6211
374 430 307
281 403 9236
115 182 5245
83 430 127
185 5 8012
66 13 823
188 185 7713
60 188 532
40 281 2144
375 185 4698
343 13 2538
309 115 2777
139 185 6672
73 13 4525
41 60 9498
249 253 4941
42 115 1435
272 374 7355
47 375 4395
282 281 8701
112 40 7446
58 282 2093
94 41 8955
34 58 4223
377 374 2780
191 249 2967
31 58 3064
106 403 7702
354 83 157
89 42 1407
197 42 9534
274 83 3565
23 299 9832
84 309 792
55 58 9017
144 9 8649
70 115 7373
425 274 6007
225 84 4259
109 185 4038
378 375 6238
410 47 301
254 23 1521
380 281 8140
336 378 130
200 94 1208
429 66 4594
190 40 687
239 66 9087
64 42 4532
205 42 8966
366 112 2504
316 430 3341
160 197 347
339 429 4693
74 47 4057
235 354 4054
114 188 8605
304 190 8766
187 377 2816
207 139 2712
178 115 1584
361 5 2169
118 309 7698
199 118 574
386 139 9035
313 274 4482
157 66 1904
68 47 9301
216 41 568
323 190 5027
237 9 4229
170 139 7321
12 386 9244
26 313 1578
269 40 9680
413 386 7635
423 23 9625
108 58 4578
333 23 439
72 309 7105
48 375 2943
384 316 2501
148 144 7829
63 225 4681
230 42 1381
32 429 9961
110 235 4459
153 378 1406
307 199 1132
232 139 8126
163 430 1016
126 403 3964
81 160 465
251 148 3132
56 197 7514
258 115 8603
86 5 6656
250 253 4024
61 86 6800
283 336 1302
88 114 4938
195 70 8119
399 40 9245
87 207 4238
310 61 9654
119 281 5777
176 307 8102
231 429 2210
45 108 3202
54 309 5359
39 281 3685
196 375 2657
220 109 5406
242 144 6555
181 126 5830
217 110 9133
158 231 9244
52 413 3157
145 42 303
28 86 7071
348 55 8137
263 119 824
50 375 8329
51 61 5803
338 403 9011
321 239 3283
127 375 2062
229 380 5304
271 83 8977
422 41 1173
400 52 5541
371 40 798
213 89 8454
116 253 1466
245 196 5498
433 423 3059
209 163 3678
270 144 5891
164 272 1192
174 425 1420
159 333 7843
226 251 6934
424 13 9612
124 187 4793
260 145 2469
395 50 8747
98 127 6697
415 106 1577
71 196 7378
320 114 6659
390 395 7231
275 299 6735
351 254 1723
46 28 4505
295 159 1896
135 32 8909
80 269 7790
6 415 3361
328 170 3155
285 158 5908
11 188 8274
2 135 4370
381 199 4827
62 115 3443
268 11 7563
140 62 7503
227 118 5748
301 366 6595
427 39 7665
280 145 8691
398 348 7103
180 207 2500
221 98 7629
17 216 1003
96 45 8173
18 336 5673
99 433 1090
355 41 4537
107 163 5682
172 231 2603
149 84 1051
385 159 6283
347 172 5000
132 281 2690
189 112 2972
303 112 9228
335 433 2795
1 196 4408
20 321 1754
284 86 8722
279 191 4287
376 400 2242
4 424 5851
356 424 6221
344 135 1901
155 250 2419
368 99 646
193 299 3222
214 73 4893
302 18 2450
14 269 6717
293 145 9245
35 12 7448
265 88 4716
90 185 4089
329 385 7864
215 398 4132
179 62 1671
33 51 2679
85 40 6953
138 181 2349
19 46 9570
152 48 1796
387 116 675
161 385 3956
373 119 992
404 94 9816
210 307 1642
201 374 7834
262 163 7819
154 88 3310
341 148 7999
345 197 6848
360 180 3363
97 55 5583
175 32 1983
297 66 8771
236 106 1475
104 55 8632
388 371 4884
222 51 1115
49 126 8004
287 26 5080
418 307 4764
389 265 7814
238 144 7386
130 299 5434
79 381 6736
121 158 8173
286 348 8808
431 386 923
300 126 1434
277 4 147
322 321 7403
36 297 7802
101 5 3033
396 336 6255
246 185 1326
169 196 4889
77 229 5468
82 34 6743
273 268 6548
168 90 8499
131 46 7952
219 170 7719
372 297 7458
296 399 8434
324 217 5216
267 41 6643
428 109 6225
211 418 4927
350 56 8320
362 99 4414
233 242 2327
342 161 8799
405 418 2231
367 372 6295
76 178 5385
30 155 5376
143 108 4232
244 242 7048
402 368 3975
69 269 6969
288 58 8264
134 299 317
198 307 4437
247 281 8797
44 121 1266
117 205 4198
147 86 7882
10 410 9823
202 422 7305
37 267 8507
59 201 6601
223 275 577
358 254 7576
16 210 4540
75 64 4770
292 303 6742
397 385 8081
21 219 5741
206 154 5781
137 361 6419
129 233 4465
234 303 1966
259 270 395
252 188 7211
120 6 9788
29 384 5146
183 47 9096
7 253 5281
141 170 5792
133 169 3105
352 188 3303
248 389 8436
38 63 4810
241 236 3830
417 35 4997
65 126 5286
100 338 8673
15 13 5248
337 70 4803
298 237 8960
53 279 3789
228 46 34
401 348 5258
314 322 6738
305 64 3678
57 154 2340
318 79 4858
359 17 8257
93 344 2574
379 188 6344
317 348 3017
364 237 3971
383 270 5061
78 145 9373
409 68 5994
276 126 5733
330 415 5527
432 133 8959
382 400 6906
412 99 7196
353 293 6146
128 250 5200
167 247 1461
393 190 8990
136 230 4054
420 6 7236
218 362 9966
22 305 6665
203 176 4338
256 81 9835
370 28 8233
67 322 2706
326 270 4375
105 38 158
177 58 5879
103 187 9808
332 178 8263
312 149 8729
113 114 7673
125 175 8544
325 388 5562
266 232 4914
102 104 8561
95 26 2690
184 124 3937
346 215 1489
294 230 8124
392 267 7809
27 82 8555
331 209 2476
194 329 2654
111 139 5427
255 117 4609
171 388 1682
91 364 8406
391 153 7980
327 86 9574
421 301 8229
25 223 6576
208 298 1617
278 283 9336
290 145 6096
289 172 9940
212 432 267
162 58 1960
394 193 2845
8 54 9176
92 430 4042
257 226 15
306 206 4370
204 413 7564
24 279 5819
365 144 2162
123 318 3222
156 247 704
315 245 229
261 283 6002
363 17 7805
408 83 4937
150 386 958
243 380 86
308 405 793
240 28 2954
122 27 7011
319 300 1218
416 55 354
311 254 5601
151 298 8917
369 309 1202
406 59 9561
43 180 567
165 36 6917
411 114 6946
264 297 2406
419 263 7199
142 353 4144
224 384 3891
334 4 2645
173 317 9083
3 235 2896
357 433 9832
349 126 7930
407 347 3472
192 26 8464
291 307 1900
340 364 441
146 300 4516
414 128 698
186 156 4436
166 59 4381
114 235 2289
113 229 5725
253 321 8955
187 356 651
21 204 6097
429 294 147
129 352 6331
416 128 5180
166 415 9825
154 276 6780
114 74 8735
122 308 2377
61 3 1145
12 2 8453
238 256 7600
180 150 4177
219 96 9493
391 125 1723
251 109 8953
293 207 8192
405 296 3935
60 153 7232
214 147 2747
174 249 6560
350 82 510
222 275 4172
407 48 7398
67 63 8567
381 206 6454
83 30 7163
30 101 8509
255 397 2780
9 38 4756
42 182 7039
247 419 280
179 311 6926
216 174 3477
2 124 2615
287 252 9518
10 145 4012
38 102 9228
180 265 3899
74 402 3107
342 314 1642
112 333 7958
403 228 8710
395 184 8073
216 243 5540
290 312 2833
237 112 1608
329 111 3704
20 263 5761
286 377 8657
116 400 4194
9 233 2580
32 282 7972
112 9 3596
166 42 497
28 138 9947
320 291 5694
163 64 3957
9 403 6892
236 86 7280
391 187 6227
33 76 3476
130 26 2954
375 153 7938
55 296 8258
191 288 9230
282 277 7669
108 361 290
358 29 9968
408 141 9658
388 348 6113
26 358 4623
294 282 2201
377 147 7557
207 218 2411
370 311 5005
255 80 4523
66 170 9869
148 178 7450
243 147 9378
163 247 7957
365 201 85
132 71 1988
378 258 4343
285 207 4391
433 244 5334
141 148 7118
46 95 5435
360 59 593
37 247 9485
218 130 5740
136 215 5586
199 428 2496
427 282 5777
40 36 3365
292 231 9869
390 259 872
63 253 4041
415 203 9666
265 28 7714
262 250 6899
83 394 629
402 381 6229
7 421 5900
364 319 7198
19 11 5238
230 402 5024
21 23 7429
3 156 2323
45 53 7155
373 133 4007
278 215 8130
242 104 2314
233 317 8545
79 171 1165
355 299 918
31 383 9488
68 24 3992
389 310 3513
321 123 4995
179 272 4274
356 65 7090
374 306 9027
412 38 2581
247 65 9880
366 192 7936
135 298 2969
52 133 8555
115 213 2382
319 347 466
13 332 521
333 37 5797
109 140 6923
325 260 6479
343 356 4011
329 428 3069
56 72 8890
99 270 2850
57 288 8729
108 13 5202
179 198 9422
143 67 5397
161 123 7607
391 238 4717
203 311 5272
92 192 436
286 55 3830
123 429 8589
60 303 1409
85 119 9449
361 281 4057
303 283 9506
320 114 9237
268 361 8628
159 302 259
393 184 7657
320 157 5109
90 53 1936
280 148 6691
358 149 1757
313 209 3949
162 202 7437
309 237 4368
223 358 4369
361 404 1214
403 386 7969
170 352 1350
268 229 6598
324 103 212
210 127 3623
116 325 2032
5 376 8510
12 34 1155
270 373 7575
194 320 8837
33 185 6565
307 265 1194
403 412 6555
338 322 3939
211 87 8402
243 267 2098
2 89 6378
344 335 3452
284 255 8908
332 18 1375
331 16 1110
105 289 2122
372 220 9519
117 236 1589
408 99 1374
430 51 4278
121 387 6954
115 413 4133
212 345 5590
271 63 6638
344 307 1194
98 384 9929
378 221 7840
247 143 1526
274 143 3900
